Index,施設名,lat,lon
503,はぐはぐ乳児保育園,43.07894499,141.2833922
504,西町にじのいろ保育園,43.08554612,141.2832887
505,すまいる保育園,43.06225393,141.2727212
506,西野にじのいろ保育園,43.06856989,141.2628942
507,ころころ保育園,43.07670962,141.3108789
508,こぐまハウス,43.07231925,141.3045945
509,八軒あじさい保育園,43.08504506,141.3132003
510,S.T.ナーサリーSCHOOL八軒,43.08862142,141.3120094
511,発寒にじのいろ保育園,43.08221817,141.2905502
512,森のタータン保育園マール,43.08339358,141.2874455
513,森のタータン保育園コピス,43.08907256,141.277539
514,こどもプラザ青い鳥宮の沢園,43.0898039,141.2779502
515,宮の沢みらいのたね,43.09826524,141.2717251
516,発寒みらいのたね,43.0963177,141.2933379
517,保育るーむひなたぼっこ,43.08905452,141.3071321
518,レーベンそらまめ琴似保育園,43.0850507,141.3053566
519,八軒西もみじ保育園,43.09832887,141.30246
520,発寒コグマ保育園,43.10100216,141.2912337
521,さくらんぼ保育園,43.10973220339584, 141.29436527028622
522,手稲やまなみ認定こども園(0・1歳分園含む),43.12603832086636, 141.21992341122524
523,ていねあすなろ認定こども園(0・1歳分園含む),,
524,幼保連携型認定こども園山王幼稚園,43.132468553694196, 141.23363796359982
525,認定こども園まつばの杜,43.121262097659994, 141.26750142042354
526,星置ピノキオ認定こども園,43.13431212320993, 141.21381604622385
527,認定こども園ほしおきガーデン星の子幼稚園,43.13801713879863, 141.19636972298562
528,まえだ認定こども園,43.12128762330948, 141.2596427669661
529,認定こども園おおぞら幼稚園,43.12950039076319, 141.26072832016746
530,認定こども園まえだ幼稚園(R5.4.1開設),43.121288824675524, 141.25967237373476
531,稲穂中央保育園,43.12639045540426, 141.2128435667848
532,保育所型認定こども園手稲曙保育園,43.12668979217717, 141.23840194977402
533,あかつき山口保育園,43.14797200224569, 141.2393953543465
534,しんはっさむライラックこども園,43.105719872955966, 141.27018187943602
535,前田中央保育園,43.13261700897569, 141.25480007228808
